image_id,class_ids,class_names,prompt,num_candidates,gt_area,gt_area_ratio,gt_score,sam_best_box_idx,sam_best_mask_idx,sam_best_gt_iou,sam_best_our_score,sam_best_sam_conf,sam_best_dino_logit,ours_best_box_idx,ours_best_mask_idx,ours_best_gt_iou,ours_best_our_score,ours_best_sam_conf,ours_best_dino_logit
2010_002025,8,cat,cat .,6,75322,0.4017173333333333,0.6596317907571569,1,2,0.6014370690108964,0.47572153498860803,0.9776533842086792,0.6980388164520264,0,2,0.32550768097643096,0.5448712511665842,0.9676209688186646,0.7024534940719604
2010_002305,8,cat,cat .,3,41292,0.220224,0.560098965125188,0,2,0.9703078568881492,0.559241026787741,0.9862225651741028,0.9428069591522217,0,1,0.9692989734714682,0.5607414589356485,0.9848870635032654,0.9428069591522217
2010_000724,8,cat,cat .,3,19984,0.18781954887218044,0.5857831178515486,0,2,0.9018996314148001,0.6068998939853889,0.9744424819946289,0.8856971859931946,0,2,0.9018996314148001,0.6068998939853889,0.9744424819946289,0.8856971859931946
2011_001601,8,cat,cat .,3,38775,0.2068,0.5308908159642223,0,2,0.9582838479809976,0.5484849110348695,0.9871266484260559,0.9376184940338135,0,1,0.9529793669921058,0.5485581187551688,0.9851400256156921,0.9376184940338135
2010_003781,8,cat,cat .,3,28481,0.15189866666666665,0.5493123183565816,0,2,0.9645599728168536,0.5636515875796148,0.9805059432983398,0.9418289661407471,0,1,0.9598919648885887,0.5751573483730151,0.9701581001281738,0.9418289661407471
2008_001433,8,cat,cat .,3,50407,0.252035,0.4297286118088102,0,2,0.9300699300699301,0.46388141200831656,0.9845718145370483,0.8753679990768433,0,2,0.9300699300699301,0.46388141200831656,0.9845718145370483,0.8753679990768433
2010_004320,8,cat,cat .,6,67795,0.4047462686567164,0.6154727843297817,0,2,0.9354810470104176,0.6382511849402723,0.9587000012397766,0.5235406160354614,0,0,0.8774124322020196,0.6531714823797167,0.9269694089889526,0.5235406160354614
2009_002753,8,cat,cat .,3,33264,0.177408,0.44999552211489546,0,2,0.8989263637349528,0.4862649999488571,0.9695958495140076,0.9450127482414246,0,2,0.8989263637349528,0.4862649999488571,0.9695958495140076,0.9450127482414246
2010_003675,8,cat,cat .,3,90295,0.48157333333333335,0.6347620675337716,0,1,0.960506242076538,0.6603087558869085,0.8899921178817749,0.8640885353088379,0,1,0.960506242076538,0.6603087558869085,0.8899921178817749,0.8640885353088379
2009_002268,8,cat,cat .,3,46536,0.2794954954954955,0.4148916090448965,0,2,0.949589995899959,0.5591658399284776,0.9851837158203125,0.9440457224845886,0,1,0.9482928027511668,0.5604531066592422,0.9805548787117004,0.9440457224845886
2011_000789,8,cat,cat .,3,100245,0.53464,0.5566180133375652,0,1,0.8130407972470312,0.44074295070015285,0.9395266771316528,0.8814588189125061,0,2,0.4509378378155352,0.49933514618526936,0.8805850148200989,0.8814588189125061
2008_000345,8,cat,cat .,6,38364,0.22111815561959655,0.41407288873985226,0,2,0.9830394886070729,0.4141744485156341,0.9867854714393616,0.5117250680923462,0,0,0.9126498972504747,0.4675259064076731,0.9762799143791199,0.5117250680923462
2010_005021,8,cat,cat .,3,83912,0.4475306666666667,0.680102355104317,0,2,0.9757354494870049,0.6835772859743516,0.9874179363250732,0.9409143328666687,0,1,0.9760695391040154,0.6856349020023631,0.9826465845108032,0.9409143328666687
2007_001774,8,cat,cat .,3,51030,0.30017647058823527,0.6541266062531179,0,2,0.9450751125742611,0.6628476590054684,0.9854834079742432,0.7772461175918579,0,1,0.940835964516614,0.6679496076780458,0.977935791015625,0.7772461175918579
2010_003764,8,cat,cat .,3,47942,0.28880722891566263,0.533412232529885,0,2,0.9427874509181772,0.5524822591269313,0.9770142436027527,0.9438403844833374,0,1,0.9395824692382138,0.553981742560983,0.9552395343780518,0.9438403844833374
2009_005158,8,cat,cat .,3,34081,0.18176533333333333,0.766484117547704,0,2,0.9454836086261533,0.7504833530536217,0.9823828935623169,0.9564219117164612,0,1,0.9471371802764874,0.762234930190133,0.9778701066970825,0.9564219117164612
2011_001607,8,cat,cat .,3,65427,0.39295495495495497,0.7105453278428929,0,2,0.938807215397451,0.803335118631743,0.9820408821105957,0.932988703250885,0,2,0.938807215397451,0.803335118631743,0.9820408821105957,0.932988703250885
2009_005219,8,cat,cat .,3,33905,0.18082666666666666,0.5065528694125276,0,2,0.8995412719524443,0.5304141037626825,0.9677608609199524,0.8981391787528992,0,1,0.8943266414039615,0.536077057798571,0.9590066075325012,0.8981391787528992
2010_003758,8,cat,cat .,3,28693,0.17130149253731344,0.6476866150711367,0,1,0.9632402309654895,0.6644311864785853,0.9819269776344299,0.9645677208900452,0,1,0.9632402309654895,0.6644311864785853,0.9819269776344299,0.9645677208900452
2008_002152,8,cat,cat .,9,39947,0.21305066666666667,0.559444530517702,0,2,0.26795363002259553,0.0,0.9776083827018738,0.7732707262039185,1,1,0.47623704283199686,0.8284319600278167,0.9614505767822266,0.733113169670105
2007_008815,8,cat,cat .,3,44417,0.23689066666666667,0.3413374098969928,0,2,0.9409465155386665,0.3358941626482159,0.9807468056678772,0.954021155834198,0,1,0.9450614058008884,0.34146985894820914,0.9735923409461975,0.954021155834198
2010_000552,8,cat,cat .,6,115098,0.613856,0.5546069767032931,1,2,0.4229072608143921,0.5044046904992325,0.9875204563140869,0.5942819118499756,0,1,0.5495834197607689,0.5229765581886872,0.9766378402709961,0.761483907699585
2007_003169,8,cat,cat .,3,44728,0.23854933333333334,0.5646409667175171,0,2,0.9412047981787934,0.5599203175161246,0.9680201411247253,0.94901442527771,0,0,0.8371009605785655,0.5725676723013158,0.9409833550453186,0.94901442527771
2009_003904,8,cat,cat .,3,46326,0.2782342342342342,0.5276607079771358,0,2,0.9589200657278948,0.5753651101410446,0.9756479263305664,0.7521207332611084,0,2,0.9589200657278948,0.5753651101410446,0.9756479263305664,0.7521207332611084
2010_000163,8,cat,cat .,3,68519,0.379606648199446,0.6896777034070494,0,2,0.9511740485199198,0.7016528958311644,0.9830945134162903,0.9415311813354492,0,1,0.9466627926282584,0.7043483814007755,0.9797093868255615,0.9415311813354492
2010_001292,8,cat,cat .,3,85065,0.4129368932038835,0.5772690316861966,0,1,0.9560056258790436,0.6921844361948049,0.9794661998748779,0.9516271948814392,0,1,0.9560056258790436,0.6921844361948049,0.9794661998748779,0.9516271948814392
2007_001763,8,cat,cat .,6,34997,0.18665066666666666,0.3099977250078221,1,2,0.9654267202859697,0.3645190871408097,0.9839873313903809,0.4256495237350464,0,2,0.002862128402102441,0.5686700077808983,0.9487912654876709,0.44798150658607483
2009_001391,8,cat,cat .,3,48569,0.29083233532934133,0.7098931572325937,0,2,0.9494706735257314,0.7134241594809569,0.9836918115615845,0.9251843094825745,0,1,0.955036646318576,0.7387881373602398,0.98225337266922,0.9251843094825745
2007_002445,8,cat,cat .,3,104878,0.5826555555555556,0.7383370664328361,0,1,0.9765789723620477,0.7465343050328286,0.9813616871833801,0.8804489970207214,0,1,0.9765789723620477,0.7465343050328286,0.9813616871833801,0.8804489970207214
2010_004861,8,cat,cat .,3,45899,0.27566966966966966,0.6005297767235767,0,2,0.9549981249218717,0.6117885157087013,0.9815043807029724,0.9416048526763916,0,0,0.9026946426669507,0.6400934475464699,0.9463917016983032,0.9416048526763916
