image_id,class_ids,class_names,prompt,num_candidates,gt_area,gt_score,sam_best_box_idx,sam_best_mask_idx,sam_best_gt_iou,sam_best_our_score,sam_best_sam_conf,sam_best_dino_logit,ours_best_box_idx,ours_best_mask_idx,ours_best_gt_iou,ours_best_our_score,ours_best_sam_conf,ours_best_dino_logit
2010_004472,7,car,car .,6,19049,0.5547168662136259,1,2,0.14966615305598358,0.0,0.9497625827789307,0.4473564922809601,0,2,0.00018776991925893472,0.23669829293431585,0.7985693216323853,0.4152643084526062
2010_005284,7,car,car .,6,1164,0.0,0,2,0.8628072957969866,0.0,0.9401202201843262,0.4217589199542999,0,0,0.793918918918919,0.0,0.9149642586708069,0.4217589199542999
2010_001246,7,car,car .,3,620,0.0,0,2,0.8288543140028288,0.0,0.9351965188980103,0.8507530689239502,0,0,0.5230769230769231,0.0,0.9124903082847595,0.8507530689239502
2009_003387,7,car,car .,6,78313,0.7468672168151491,1,2,0.688982771307503,0.5623363967423365,0.9307954907417297,0.4534652829170227,1,1,0.8340877106234073,0.7009222040705343,0.9259649515151978,0.4534652829170227
2008_003141,7,car,car .,6,14843,0.0,1,2,0.0,0.0,0.9813417196273804,0.5120442509651184,0,0,0.9522213459516299,0.0,0.9534942507743835,0.6916504502296448
2007_003051,7,car,car .,3,23989,0.6938757074206237,0,2,0.9735641162685524,0.6945434644777921,0.9840420484542847,0.9378226399421692,0,1,0.9731623371302138,0.6972564467116504,0.9832637906074524,0.9378226399421692
2007_000727,7,car,car .,9,4913,0.0,0,2,0.6254040692146796,0.0,0.9663136005401611,0.7238436341285706,0,0,0.6258026853473438,0.0,0.9460188150405884,0.7238436341285706
2008_004339,7,car,car .,3,3982,0.0,0,2,0.8392577688352336,0.0,0.9201490879058838,0.5430422425270081,0,0,0.5714985308521058,0.0,0.868602991104126,0.5430422425270081
2007_007818,7,car,car .,27,5918,0.0,0,2,0.38061889250814335,0.0,0.9630410075187683,0.595676064491272,0,0,0.3553868998515097,0.0,0.935204029083252,0.595676064491272
2007_003503,7,car,car .,6,4194,0.0,1,2,0.2977346278317152,0.0,0.9766125679016113,0.631537139415741,0,0,0.3271878646441074,0.0,0.9119523167610168,0.7018354535102844
